
78	89
78	56
30	12
78	67
70	70
12	34
67	67
89	89
50	40
40	2
70	70
80	80
90	89
67	56
100	100
89	89
2	2
45	6
50	5
89	89
67	60
90	45
32	23
100	90
8	4
70	90
45	45
90	45
100	60
56	50
89	70
4	5
30	89
89	78
45	90
3	4
90	89
67	56
45	67
89	2
100	100
45	45
89	90
67	45
2	3
89	2
100	100
2	3
7	6
80	89
54	78
89	90
8	5
30	76
78	45
34	67
2	3
78	90
67	45
3	2
90	32
60	90
70	40
90	45
67	78
12	100
67	67
45	45
80	70
34	45
21	23
67	89
1	4
45	90
70	56
23	67
90	67
